DATE,MEHOINUSFLA646N
1984-01-01,19785
1985-01-01,21343
1986-01-01,22849
1987-01-01,24489
1988-01-01,25406
1989-01-01,26085
1990-01-01,26685
1991-01-01,27252
1992-01-01,27349
1993-01-01,28550
1994-01-01,29294
1995-01-01,29745
1996-01-01,30641
1997-01-01,32455
1998-01-01,34909
1999-01-01,35831
2000-01-01,38856
2001-01-01,36421
2002-01-01,38024
2003-01-01,38972
2004-01-01,40535
2005-01-01,42990
2006-01-01,45676
2007-01-01,45794
2008-01-01,44857
2009-01-01,45631
2010-01-01,44066
2011-01-01,45105
2012-01-01,46071
2013-01-01,48532
2014-01-01,46140
2015-01-01,48825
2016-01-01,51176
2017-01-01,53086
2018-01-01,54644
2019-01-01,58368
2020-01-01,57763
2021-01-01,59734
