category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,204483.66
Sun Feb 15 1953,18080.26,205255.3
Sun Mar 15 1953,18080.26,204483.66
Wed Apr 15 1953,18122.25,204958.56
Fri May 15 1953,18143.25,204427.54
Mon Jun 15 1953,18143.25,203664.75
Wed Jul 15 1953,18185.25,204136.22
Sat Aug 15 1953,18206.25,203612.2
Tue Sep 15 1953,18227.25,203847.06
Thu Oct 15 1953,18227.25,203092.07
Sun Nov 15 1953,18206.25,203612.2
Tue Dec 15 1953,18206.25,203612.2
Fri Jan 15 1954,18206.25,203612.2
Mon Feb 15 1954,18227.25,203847.06
Mon Mar 15 1954,18227.25,203847.06
Thu Apr 15 1954,18206.25,204371.95
Sat May 15 1954,18206.25,203612.2
Tue Jun 15 1954,18227.25,203847.06
Thu Jul 15 1954,18290.25,204551.63
Sun Aug 15 1954,18332.24,205021.23
Wed Sep 15 1954,18374.24,206257.7
Fri Oct 15 1954,18353.24,206021.97
Mon Nov 15 1954,18353.24,206021.97
Wed Dec 15 1954,18374.24,207030.2
Sat Jan 15 1955,18395.24,207266.82
Tue Feb 15 1955,18332.24,206556.97
Tue Mar 15 1955,18290.25,206083.85
Fri Apr 15 1955,18185.25,204900.77
Sun May 15 1955,18185.25,204900.77
Wed Jun 15 1955,18269.25,205847.23
Fri Jul 15 1955,18332.24,205786.23
Mon Aug 15 1955,18437.24,206964.9
Thu Sep 15 1955,18479.24,206665.23
Sat Oct 15 1955,18458.24,206430.37
Tue Nov 15 1955,18416.24,205960.66
Thu Dec 15 1955,18374.24,206257.7
Sun Jan 15 1956,18332.24,205786.23
Wed Feb 15 1956,18269.25,205079.15
Thu Mar 15 1956,18206.25,204371.95
Sun Apr 15 1956,18122.25,202672.78
Tue May 15 1956,18143.25,202156.12
Fri Jun 15 1956,18332.24,202759.97
Sun Jul 15 1956,18479.24,202893.96
Wed Aug 15 1956,18605.23,205025.55
Sat Sep 15 1956,18584.23,204046.71
Mon Oct 15 1956,18563.24,203075.1
Thu Nov 15 1956,18521.24,202615.63
Sat Dec 15 1956,18542.24,202110.42
Tue Jan 15 1957,18605.23,202797.01
Fri Feb 15 1957,18773.23,203889.48
Fri Mar 15 1957,18773.23,203156.06
Mon Apr 15 1957,18899.22,203786.43
Wed May 15 1957,18962.22,203735.51
Sat Jun 15 1957,18899.22,202335.99
Mon Jul 15 1957,18899.22,200906.05
Thu Aug 15 1957,18899.22,200906.05
Sun Sep 15 1957,18962.22,201575.77
Tue Oct 15 1957,19067.21,202691.85
Fri Nov 15 1957,19067.21,201978.15
Sun Dec 15 1957,19046.22,201755.8
Wed Jan 15 1958,19067.21,200565.72
Sat Feb 15 1958,19067.21,200565.72
Sat Mar 15 1958,19235.21,200927.8
Tue Apr 15 1958,19277.21,200669.75
Thu May 15 1958,19319.2,201106.86
Sun Jun 15 1958,19214.21,200013.94
Tue Jul 15 1958,19214.21,199324.24
Fri Aug 15 1958,19193.21,199795.34
Mon Sep 15 1958,19130.21,199139.53
Wed Oct 15 1958,19109.21,198920.93
Sat Nov 15 1958,19151.21,198670.69
Mon Dec 15 1958,19172.21,199576.74
Thu Jan 15 1959,19130.21,198452.84
Sun Feb 15 1959,19109.21,198920.93
Sun Mar 15 1959,19109.21,198920.93
Wed Apr 15 1959,19109.21,198234.99
Fri May 15 1959,19193.21,199106.39
Mon Jun 15 1959,19193.21,198422.18
Wed Jul 15 1959,19130.21,197093.57
Sat Aug 15 1959,19109.21,196877.22
Tue Sep 15 1959,19151.21,196636.52
Thu Oct 15 1959,19256.21,197042.12
Sun Nov 15 1959,19277.21,197257
Tue Dec 15 1959,19193.21,196397.46
