index,New One Family Houses Sold,Unemployment Rate in Florida
1976,652.33,9.3
1977,819.58,8.28
1978,815.58,6.76
1979,703.5,5.99
1980,545.33,5.98
1981,435.75,6.8
1982,418.17,8.48
1983,627.33,8.64
1984,636.75,6.59
1985,691.42,6.08
1986,746.42,5.84
1987,669.0,5.4
1988,674.25,5.19
1989,653.33,5.61
1990,532.83,6.23
1991,509.33,7.64
1992,613.5,8.37
1993,674.42,7.4
1994,667.25,6.48
1995,669.5,5.6
1996,755.75,5.28
1997,806.33,4.92
1998,889.42,4.45
1999,878.5,3.93
2000,880.25,3.76
2001,907.25,4.42
2002,976.17,4.96
2003,1090.67,4.47
2004,1200.83,3.75
2005,1278.92,2.88
2006,1049.33,2.47
2007,768.67,3.3
2008,482.17,5.69
2009,374.25,9.56
2010,321.25,10.82
2011,306.42,10.0
2012,368.08,8.67
2013,429.83,7.53
2014,440.25,6.43
2015,502.58,5.52
2016,560.5,4.92
2017,614.67,4.3
2018,613.92,3.65
2019,683.17,3.25
2020,831.25,8.17
2021,769.42,4.66
2022,640.5,2.9
2023,651.33,2.6
