Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,2000,M01,2000 Jan,169.3,2.8
CUSR0000SA0,2000,M02,2000 Feb,170,3.2
CUSR0000SA0,2000,M03,2000 Mar,171,3.8
CUSR0000SA0,2000,M04,2000 Apr,170.9,3
CUSR0000SA0,2000,M05,2000 May,171.2,3.1
CUSR0000SA0,2000,M06,2000 Jun,172.2,3.7
CUSR0000SA0,2000,M07,2000 Jul,172.7,3.6
CUSR0000SA0,2000,M08,2000 Aug,172.7,3.4
CUSR0000SA0,2000,M09,2000 Sep,173.6,3.5
CUSR0000SA0,2000,M10,2000 Oct,173.9,3.5
CUSR0000SA0,2000,M11,2000 Nov,174.2,3.4
CUSR0000SA0,2000,M12,2000 Dec,174.6,3.4
CUSR0000SA0,2001,M01,2001 Jan,175.6,3.7
CUSR0000SA0,2001,M02,2001 Feb,176,3.5
CUSR0000SA0,2001,M03,2001 Mar,176.1,3
CUSR0000SA0,2001,M04,2001 Apr,176.4,3.2
CUSR0000SA0,2001,M05,2001 May,177.3,3.6
CUSR0000SA0,2001,M06,2001 Jun,177.7,3.2
CUSR0000SA0,2001,M07,2001 Jul,177.4,2.7
CUSR0000SA0,2001,M08,2001 Aug,177.4,2.7
CUSR0000SA0,2001,M09,2001 Sep,178.1,2.6
CUSR0000SA0,2001,M10,2001 Oct,177.6,2.1
CUSR0000SA0,2001,M11,2001 Nov,177.5,1.9
CUSR0000SA0,2001,M12,2001 Dec,177.4,1.6
CUSR0000SA0,2002,M01,2002 Jan,177.7,1.2
CUSR0000SA0,2002,M02,2002 Feb,178,1.1
CUSR0000SA0,2002,M03,2002 Mar,178.5,1.4
CUSR0000SA0,2002,M04,2002 Apr,179.3,1.6
CUSR0000SA0,2002,M05,2002 May,179.5,1.2
CUSR0000SA0,2002,M06,2002 Jun,179.6,1.1
CUSR0000SA0,2002,M07,2002 Jul,180,1.5
CUSR0000SA0,2002,M08,2002 Aug,180.5,1.7
CUSR0000SA0,2002,M09,2002 Sep,180.8,1.5
CUSR0000SA0,2002,M10,2002 Oct,181.2,2
CUSR0000SA0,2002,M11,2002 Nov,181.5,2.3
CUSR0000SA0,2002,M12,2002 Dec,181.8,2.5
CUSR0000SA0,2003,M01,2003 Jan,182.6,2.8
CUSR0000SA0,2003,M02,2003 Feb,183.6,3.1
CUSR0000SA0,2003,M03,2003 Mar,183.9,3
CUSR0000SA0,2003,M04,2003 Apr,183.2,2.2
CUSR0000SA0,2003,M05,2003 May,182.9,1.9
CUSR0000SA0,2003,M06,2003 Jun,183.1,1.9
CUSR0000SA0,2003,M07,2003 Jul,183.7,2.1
CUSR0000SA0,2003,M08,2003 Aug,184.5,2.2
CUSR0000SA0,2003,M09,2003 Sep,185.1,2.4
CUSR0000SA0,2003,M10,2003 Oct,184.9,2
CUSR0000SA0,2003,M11,2003 Nov,185,1.9
CUSR0000SA0,2003,M12,2003 Dec,185.5,2
CUSR0000SA0,2004,M01,2004 Jan,186.3,2
CUSR0000SA0,2004,M02,2004 Feb,186.7,1.7
CUSR0000SA0,2004,M03,2004 Mar,187.1,1.7
CUSR0000SA0,2004,M04,2004 Apr,187.4,2.3
CUSR0000SA0,2004,M05,2004 May,188.2,2.9
CUSR0000SA0,2004,M06,2004 Jun,188.9,3.2
CUSR0000SA0,2004,M07,2004 Jul,189.1,2.9
CUSR0000SA0,2004,M08,2004 Aug,189.2,2.5
CUSR0000SA0,2004,M09,2004 Sep,189.8,2.5
CUSR0000SA0,2004,M10,2004 Oct,190.8,3.2
CUSR0000SA0,2004,M11,2004 Nov,191.7,3.6
CUSR0000SA0,2004,M12,2004 Dec,191.7,3.3
CUSR0000SA0,2005,M01,2005 Jan,191.6,2.8
CUSR0000SA0,2005,M02,2005 Feb,192.4,3.1
CUSR0000SA0,2005,M03,2005 Mar,193.1,3.2
CUSR0000SA0,2005,M04,2005 Apr,193.7,3.4
CUSR0000SA0,2005,M05,2005 May,193.6,2.9
CUSR0000SA0,2005,M06,2005 Jun,193.7,2.5
CUSR0000SA0,2005,M07,2005 Jul,194.9,3.1
CUSR0000SA0,2005,M08,2005 Aug,196.1,3.6
CUSR0000SA0,2005,M09,2005 Sep,198.8,4.7
CUSR0000SA0,2005,M10,2005 Oct,199.1,4.4
CUSR0000SA0,2005,M11,2005 Nov,198.1,3.3
CUSR0000SA0,2005,M12,2005 Dec,198.1,3.3
CUSR0000SA0,2006,M01,2006 Jan,199.3,4
CUSR0000SA0,2006,M02,2006 Feb,199.4,3.6
CUSR0000SA0,2006,M03,2006 Mar,199.7,3.4
CUSR0000SA0,2006,M04,2006 Apr,200.7,3.6
CUSR0000SA0,2006,M05,2006 May,201.3,4
CUSR0000SA0,2006,M06,2006 Jun,201.8,4.2
CUSR0000SA0,2006,M07,2006 Jul,202.9,4.1
CUSR0000SA0,2006,M08,2006 Aug,203.8,3.9
CUSR0000SA0,2006,M09,2006 Sep,202.8,2
CUSR0000SA0,2006,M10,2006 Oct,201.9,1.4
CUSR0000SA0,2006,M11,2006 Nov,202,2
CUSR0000SA0,2006,M12,2006 Dec,203.1,2.5
CUSR0000SA0,2007,M01,2007 Jan,203.437,2.1
CUSR0000SA0,2007,M02,2007 Feb,204.226,2.4
CUSR0000SA0,2007,M03,2007 Mar,205.288,2.8
CUSR0000SA0,2007,M04,2007 Apr,205.904,2.6
CUSR0000SA0,2007,M05,2007 May,206.755,2.7
CUSR0000SA0,2007,M06,2007 Jun,207.234,2.7
