Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
Population 1 year and over,"19,683,763","±7,910",9.30%,±0.2,3.10%,±0.1,2.80%,±0.1,1.00%,±0.1
AGE,,,,,,,,,,
    1 to 4 years,"868,038","±7,748",13.60%,±0.9,3.30%,±0.4,3.20%,±0.4,1.10%,±0.3
    5 to 17 years,"2,976,451","±3,914",10.10%,±0.4,2.50%,±0.3,2.20%,±0.2,0.90%,±0.1
    18 to 24 years,"1,798,078","±6,225",14.40%,±0.6,7.20%,±0.4,4.10%,±0.3,1.40%,±0.2
    25 to 34 years,"2,512,629","±7,641",14.50%,±0.4,5.30%,±0.3,3.90%,±0.3,1.50%,±0.2
    35 to 44 years,"2,432,609","±6,425",10.40%,±0.5,3.30%,±0.2,2.70%,±0.3,1.20%,±0.2
    45 to 54 years,"2,730,745","±6,443",7.80%,±0.3,2.40%,±0.2,2.20%,±0.2,0.80%,±0.1
    55 to 64 years,"2,574,259","±4,406",5.80%,±0.3,2.00%,±0.1,2.40%,±0.2,0.80%,±0.1
    65 to 74 years,"2,083,890","±3,796",4.20%,±0.3,1.40%,±0.2,3.00%,±0.2,0.80%,±0.1
    75 years and over,"1,707,064","±3,642",4.60%,±0.3,1.30%,±0.2,1.80%,±0.2,0.60%,±0.1
Median age (years),42.1,±0.1,30.8,±0.4,29.9,±0.6,36.2,±1.2,35,±1.7
SEX,,,,,,,,,,
    Male,"9,616,427","±8,618",9.30%,±0.2,3.30%,±0.1,2.80%,±0.1,1.00%,±0.1
    Female,"10,067,336","±7,992",9.20%,±0.2,2.90%,±0.1,2.70%,±0.1,0.90%,±0.1
RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,
    One race,"19,222,425","±20,823",9.20%,±0.2,3.10%,±0.1,2.80%,±0.1,1.00%,±0.1
        White,"14,975,679","±29,249",8.60%,±0.2,3.00%,±0.1,2.90%,±0.1,0.90%,±0.1
        Black or African American,"3,177,856","±14,571",11.90%,±0.6,3.40%,±0.3,2.00%,±0.3,0.80%,±0.2
        American Indian and Alaska Native,"52,467","±5,010",11.40%,±2.9,2.90%,±1.1,5.10%,±3.1,1.60%,±1.4
        Asian,"519,354","±7,485",7.30%,±1.0,2.70%,±0.6,2.80%,±0.6,3.00%,±0.4
        Native Hawaiian and Other Pacific Islander,"15,149","±3,314",12.80%,±6.8,2.10%,±2.2,3.00%,±2.6,3.30%,±4.4
        Some other race,"481,920","±24,720",12.40%,±1.6,3.00%,±0.6,2.10%,±0.6,2.30%,±0.6
    Two or more races,"461,338","±19,266",12.40%,±1.1,4.00%,±0.7,3.60%,±0.7,1.00%,±0.3
Hispanic or Latino origin (of any race),"4,723,932","±4,336",9.80%,±0.5,2.50%,±0.2,1.50%,±0.2,2.00%,±0.2
"White alone, not Hispanic or Latino","10,969,240","±9,678",8.30%,±0.2,3.30%,±0.1,3.50%,±0.1,0.50%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
    Native,"15,712,625","±36,271",9.50%,±0.2,3.40%,±0.1,3.10%,±0.1,0.40%,±0.1
    Foreign born,"3,971,138","±35,660",8.50%,±0.4,1.90%,±0.2,1.40%,±0.1,3.20%,±0.2
        Naturalized U.S. citizen,"2,135,740","±27,337",6.90%,±0.4,1.80%,±0.2,1.50%,±0.2,0.50%,±0.1
        Not a U.S. citizen,"1,835,398","±29,906",10.50%,±0.6,2.00%,±0.2,1.30%,±0.2,6.40%,±0.5
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"16,544,829","±3,434",8.90%,±0.2,3.20%,±0.1,2.80%,±0.1,1.00%,±0.1
        Never married,"5,229,442","±31,066",12.30%,±0.3,5.00%,±0.2,3.10%,±0.2,1.10%,±0.1
"        Now married, except separated","7,583,757","±47,792",6.30%,±0.2,2.00%,±0.1,2.70%,±0.1,1.10%,±0.1
        Divorced or separated,"2,550,287","±28,421",10.80%,±0.4,3.60%,±0.2,2.70%,±0.2,0.80%,±0.1
        Widowed,"1,181,343","±16,579",5.90%,±0.4,1.70%,±0.2,2.40%,±0.3,0.60%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"14,041,196","±6,948",8.20%,±0.2,2.70%,±0.1,2.70%,±0.1,1.00%,±0.1
        Less than high school graduate,"1,795,693","±22,052",8.90%,±0.4,2.90%,±0.3,1.60%,±0.2,1.20%,±0.2
        High school graduate (includes equivalency),"4,151,300","±31,641",8.40%,±0.3,2.50%,±0.2,2.40%,±0.2,0.70%,±0.1
        Some college or associate's degree,"4,263,699","±31,292",8.50%,±0.3,2.90%,±0.2,2.80%,±0.2,0.70%,±0.1
        Bachelor's degree,"2,448,663","±26,006",7.50%,±0.4,2.80%,±0.3,3.20%,±0.2,1.50%,±0.2
        Graduate or professional degree,"1,381,841","±19,817",6.80%,±0.4,2.40%,±0.3,3.80%,±0.3,1.30%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"16,544,829","±3,434",8.90%,±0.2,3.20%,±0.1,2.80%,±0.1,1.00%,±0.1
"        $1 to $9,999 or loss","2,767,278","±25,987",10.20%,±0.3,4.20%,±0.2,3.30%,±0.2,1.40%,±0.2
"        $10,000 to $14,999","1,644,887","±20,037",9.40%,±0.5,2.50%,±0.2,2.70%,±0.2,0.70%,±0.1
"        $15,000 to $24,999","2,693,540","±28,593",9.80%,±0.4,2.70%,±0.2,2.70%,±0.2,0.60%,±0.1
"        $25,000 to $34,999","1,917,310","±23,244",9.80%,±0.5,2.90%,±0.2,2.70%,±0.2,0.60%,±0.1
"        $35,000 to $49,999","1,893,261","±21,405",8.60%,±0.4,2.70%,±0.3,2.90%,±0.3,0.60%,±0.1
"        $50,000 to $64,999","1,146,942","±18,767",7.10%,±0.4,2.40%,±0.2,2.80%,±0.2,0.40%,±0.1
"        $65,000 to $74,999","433,164","±11,192",6.50%,±0.7,2.60%,±0.4,2.90%,±0.4,0.60%,±0.2
"        $75,000 or more","1,479,729","±18,735",6.10%,±0.3,2.10%,±0.2,3.10%,±0.2,0.70%,±0.2
Median income (dollars),"24,405",±158,"21,572",±317,"20,965",±652,"23,888","±1,081","16,353","±1,390"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"19,264,523","±9,552",9.10%,±0.2,2.70%,±0.1,2.70%,±0.1,1.00%,±0.1
        Below 100 percent of the poverty level,"3,157,649","±58,443",13.90%,±0.5,3.80%,±0.3,2.70%,±0.2,2.10%,±0.2
        100 to 149 percent of the poverty level,"2,108,418","±45,130",11.00%,±0.6,2.90%,±0.4,2.50%,±0.3,0.90%,±0.2
        At or above 150 percent of the poverty level,"13,998,456","±67,219",7.70%,±0.2,2.40%,±0.1,2.70%,±0.1,0.80%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"19,252,300","±7,910",9.10%,±0.2,2.70%,±0.1,2.70%,±0.1,1.00%,±0.1
        Householder lived in owner-occupied housing units,"12,234,061","±66,520",4.30%,±0.1,1.50%,±0.1,1.80%,±0.1,0.60%,±0.1
        Householder lived in renter-occupied housing units,"7,018,239","±65,795",17.40%,±0.4,4.70%,±0.2,4.20%,±0.2,1.60%,±0.2
PERCENT IMPUTED,,,,,,,,,,
    Residence 1 year ago,7.40%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
